top - 16:34:57 up  1:40,  2 users,  load average: 3.26, 2.68, 1.77
Tasks: 118 total,   2 running,  99 sleeping,  17 stopped,   0 zombie
%Cpu(s):  0.0 us,  4.8 sy,  0.0 ni, 57.1 id, 33.3 wa,  4.8 hi,  0.0 si,  0.0 st
MiB Mem :   1827.1 total,   1680.4 free,     95.8 used,     50.8 buff/cache
MiB Swap:    820.0 total,    725.3 free,     94.7 used.   1632.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1609 root      20   0  222488      4      4 T   0.0   0.0   0:00.00 bash
   1618 root      20   0  274156      0      0 T   0.0   0.0   0:00.01 top
   1619 root      20   0  221900      0      0 T   0.0   0.0   0:00.00 grep
   1624 root      20   0  222488      4      4 T   0.0   0.0   0:00.00 bash
   1625 root      20   0  222488      0      0 T   0.0   0.0   0:00.00 bash
   1627 root      20   0  274268      4      4 T   0.0   0.0   0:00.02 top
   1628 root      20   0  221900      0      0 T   0.0   0.0   0:00.00 grep
   1694 root      20   0  222488      4      4 T   0.0   0.0   0:00.00 bash
   1695 root      20   0  222488      4      4 T   0.0   0.0   0:00.00 bash
   1736 root      20   0  217044      0      0 T   0.0   0.0   0:00.00 sleep
   1744 root      20   0  222488      4      4 T   0.0   0.0   0:00.00 bash
   1745 root      20   0  222488      4      4 T   0.0   0.0   0:00.00 bash
   1786 root      20   0  217044      0      0 T   0.0   0.0   0:00.00 sleep
   1809 root      20   0  222488      4      4 T   0.0   0.0   0:00.00 bash
   1810 root      20   0  222488      4      4 T   0.0   0.0   0:00.01 bash
   1836 root      20   0  121672      0      0 S   0.0   0.0   0:00.01 login
   1837 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u2:0-flush-253:2
   1850 root      20   0  236464      0      0 S   0.0   0.0   0:00.01 bash
   1896 root      20   0  274280    404      0 S   0.0   0.0   0:02.74 top
   1920 root      20   0  217044      0      0 T   0.0   0.0   0:00.00 sleep
   2555 root      20   0       0      0      0 I   0.0   0.0   0:00.35 kworker/0:2-ata_sff
   2904 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker/0:0-events
   2917 root      20   0  222488    132      0 S   0.0   0.0   0:00.31 bash
   4807 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker/0:1-events_power_ef+
   5672 root      20   0  274136   3776   3200 R   0.0   0.2   0:00.16 top
